"","Strain_type","Replicate","OD24_avg","OD48_avg","OD72_avg","OD24_median","OD48_median","OD72_median","OD24_max","OD48_max","OD72_max","OD24_min","OD48_min","OD72_min","lgr_avg","fakelag_avg","maxOD_avg","lgr_median","fakelag_median","maxOD_median","lgr_max","fakelag_max","maxOD_max","lgr_min","fakelag_min","BA125GClgr_avg","Strain","Origin"
"1","A03_ancestral","Rep2",0.0893333333333333,0.09,0.103,0.086,0.091,0.097,0.096,0.092,0.123,0.086,0.087,0.089,0.0197359034226352,NA,0.103666666666667,0.00504653723254478,NA,0.098,0.0512379291439657,-Inf,0.124,0.00292324389139509,Inf,0.0197359034226352,"A03","ancestral"
"2","A03_ancestral","Rep3",0.0896666666666667,0.092,0.0943333333333333,0.088,0.09,0.092,0.095,0.098,0.1,0.086,0.088,0.091,0.00530708148538395,NA,0.0946666666666667,0.00530448158730934,NA,0.092,0.00716480830220689,-Inf,0.101,0.00345195456663561,Inf,0.00530708148538395,"A03","ancestral"
"3","A03_ancestral","Rep7",0.089,0.0923333333333333,0.0966666666666667,0.088,0.089,0.087,0.091,0.101,0.117,0.088,0.087,0.086,0.00450501339196071,NA,0.098,0.00339855688036295,NA,0.089,0.00700422926325217,-Inf,0.117,0.003112254032267,Inf,0.00450501339196071,"A03","ancestral"
"4","A03_ancestral","Rep8",0.0903333333333333,0.0903333333333333,0.0896666666666667,0.092,0.091,0.089,0.094,0.093,0.093,0.085,0.087,0.087,0.00599612897852116,NA,0.0923333333333333,0.0060668357892979,NA,0.094,0.00842491145736091,-Inf,0.094,0.00349663968890468,Inf,0.00599612897852116,"A03","ancestral"
"5","A03_evolved","Rep2",0.0963333333333333,0.210666666666667,0.405333333333333,0.088,0.146,0.265,0.116,0.39,0.86,0.085,0.096,0.091,0.0336364688694838,43.25,0.409666666666667,0.0411018424850695,43.25,0.27,0.0547404565010012,43.25,0.863,0.00506710762238072,43.25,0.0336364688694838,"A03","evolved"
"6","A03_evolved","Rep3",0.092,0.135,0.339666666666667,0.093,0.134,0.335,0.095,0.138,0.363,0.088,0.133,0.321,0.0468586211573492,67.8333333333333,0.342,0.0459388300844132,68,0.336,0.0554231698313146,70.5,0.366,0.03921386355632,65,0.0468586211573492,"A03","evolved"
"7","A03_evolved","Rep4",0.110666666666667,0.442,0.718,0.111,0.491,0.819,0.117,0.538,0.949,0.104,0.297,0.386,0.0737510802983898,40.5833333333333,0.740666666666667,0.0817729521984667,37.5,0.822,0.0912608214109767,48.5,0.952,0.0482194672857261,35.75,0.0737510802983898,"A03","evolved"
"8","A03_evolved","Rep8",0.0953333333333333,0.212333333333333,0.342333333333333,0.095,0.177,0.237,0.104,0.368,0.703,0.087,0.092,0.087,0.0321728892823299,43.5,0.349,0.0285971223590309,43.5,0.245,0.0631362508163313,43.5,0.709,0.00478529467162758,43.5,0.0321728892823299,"A03","evolved"
"9","A04_ancestral","Rep3",0.0866666666666667,0.0903333333333333,0.100666666666667,0.084,0.086,0.087,0.095,0.103,0.13,0.081,0.082,0.085,0.00596090647952963,NA,0.101666666666667,0.00341795296510128,NA,0.09,0.0111131858382407,-Inf,0.13,0.00335158063524688,Inf,0.00596090647952963,"A04","ancestral"
"10","A04_ancestral","Rep5",0.0853333333333333,0.0883333333333333,0.0973333333333333,0.087,0.088,0.089,0.088,0.095,0.116,0.081,0.082,0.087,0.006160699217439,NA,0.0976666666666667,0.00437231266747773,NA,0.089,0.0108163171308462,-Inf,0.116,0.00329346785399309,Inf,0.006160699217439,"A04","ancestral"
"11","A04_ancestral","Rep6",0.0893333333333333,0.0933333333333333,0.101666666666667,0.091,0.096,0.107,0.091,0.097,0.11,0.086,0.087,0.088,0.00499616975938958,NA,0.102,0.00565878452984947,NA,0.108,0.00644852382603034,-Inf,0.11,0.00288120092228894,Inf,0.00499616975938958,"A04","ancestral"
"12","A04_ancestral","Rep7",0.0886666666666667,0.0896666666666667,0.0926666666666667,0.09,0.089,0.091,0.091,0.092,0.1,0.085,0.088,0.087,0.00567601896594994,NA,0.094,0.00639087527343207,NA,0.092,0.00766234613536199,-Inf,0.1,0.00297483548905575,Inf,0.00567601896594994,"A04","ancestral"
"13","A04_evolved","Rep6",0.0946666666666667,0.143666666666667,0.311333333333333,0.096,0.121,0.299,0.103,0.193,0.397,0.085,0.117,0.238,0.0445548187048376,58.25,0.312333333333333,0.04558175257241,58.25,0.3,0.049536770585501,58.25,0.399,0.0385459329566018,58.25,0.0445548187048376,"A04","evolved"
"14","A04_evolved","Rep7",0.0986666666666667,0.183333333333333,0.302,0.1,0.201,0.324,0.102,0.206,0.372,0.094,0.143,0.21,0.040798749952516,58,0.306,0.0420924529676014,58,0.333,0.053082194839682,58.5,0.372,0.0272216020502647,57.5,0.040798749952516,"A04","evolved"
"15","A04_evolved","Rep8",0.0913333333333333,0.121333333333333,0.264,0.087,0.119,0.275,0.101,0.129,0.285,0.086,0.116,0.232,0.0465146053489166,NA,0.265333333333333,0.0479862356739247,NA,0.276,0.0545047360356321,-Inf,0.286,0.0370528443371931,Inf,0.0465146053489166,"A04","evolved"
"16","A04_evolved","Rep9",0.0856666666666667,0.337,0.610333333333333,0.084,0.344,0.62,0.089,0.43,0.783,0.084,0.237,0.428,0.0931014540905828,46.5833333333333,0.611666666666667,0.0964939817160726,46,0.622,0.104529527011898,52.25,0.785,0.0782808535437773,41.5,0.0931014540905828,"A04","evolved"
"17","A08_ancestral","Rep10",0.103,0.298666666666667,0.432666666666667,0.109,0.358,0.543,0.114,0.432,0.624,0.086,0.106,0.131,0.0432972702172722,43,0.440666666666667,0.0569340982137234,43,0.56,0.0621770197661853,44.75,0.631,0.0107806926719078,41.25,0.0432972702172722,"A08","ancestral"
"18","A08_ancestral","Rep7",0.0943333333333333,0.225333333333333,0.346,0.093,0.201,0.361,0.098,0.275,0.374,0.092,0.2,0.303,0.0502990446108834,56.25,0.353,0.047473122610775,58.25,0.363,0.0563231669969966,60.25,0.385,0.0471008442248788,50.25,0.0502990446108834,"A08","ancestral"
"19","A08_ancestral","Rep8",0.0933333333333333,0.232,0.42,0.093,0.239,0.37,0.098,0.286,0.53,0.089,0.171,0.36,0.0545190411297784,55,0.425333333333333,0.0524217915631731,53.5,0.38,0.0656056558190343,62.5,0.534,0.0455296760071278,49,0.0545190411297784,"A08","ancestral"
"20","A08_ancestral","Rep9",0.0993333333333333,0.273333333333333,0.381333333333333,0.099,0.31,0.421,0.11,0.37,0.474,0.089,0.14,0.249,0.0519909102325578,45.375,0.392666666666667,0.0600927566707377,45.375,0.441,0.0642834189212849,47.5,0.488,0.0315965551056507,43.25,0.0519909102325578,"A08","ancestral"
"21","A08_evolved","Rep3",0.142,0.667,0.852,0.133,0.851,1.148,0.19,0.98,1.273,0.103,0.17,0.135,0.0830013049957223,30,0.865333333333333,0.0960004110650558,30,1.148,0.123916596816986,31,1.274,0.0290869071051247,29,0.0830013049957223,"A08","evolved"
"22","A08_evolved","Rep4",0.118333333333333,0.668666666666667,0.916666666666667,0.101,0.676,1.167,0.153,1.048,1.338,0.101,0.282,0.245,0.0964190747798632,39.5,0.941666666666667,0.100282537229823,37,1.169,0.138685935036076,52.5,1.339,0.0502887520736905,29,0.0964190747798632,"A08","evolved"
"23","A08_evolved","Rep7",0.126333333333333,0.734333333333333,0.986,0.117,0.749,1.136,0.148,0.988,1.324,0.114,0.466,0.498,0.102729895016621,34.0833333333333,0.998666666666667,0.10947429529562,34.25,1.137,0.122256231316342,38,1.326,0.0764591584379026,30,0.102729895016621,"A08","evolved"
"24","A08_evolved","Rep8",0.153333333333333,0.965666666666667,1.37766666666667,0.154,0.969,1.383,0.164,1.027,1.387,0.142,0.901,1.363,0.130290529846514,29.4166666666667,1.379,0.127974433761224,29.5,1.385,0.13681902961693,30.25,1.388,0.126078126161389,28.5,0.130290529846514,"A08","evolved"
"25","A18_ancestral","Rep4",0.0866666666666667,0.0896666666666667,0.0886666666666667,0.088,0.091,0.09,0.091,0.095,0.094,0.081,0.083,0.082,0.00392637489188274,NA,0.09,0.00393926362640684,NA,0.091,0.00426675013098787,-Inf,0.096,0.00357311091825352,Inf,0.00392637489188274,"A18","ancestral"
"26","A18_ancestral","Rep5",0.085,0.085,0.085,0.085,0.086,0.086,0.087,0.087,0.086,0.083,0.082,0.083,0.00309023722167012,NA,0.087,0.00287321060277179,NA,0.087,0.00394600119246746,-Inf,0.087,0.00245149986977111,Inf,0.00309023722167012,"A18","ancestral"
"27","A18_ancestral","Rep6",0.084,0.0853333333333333,0.0843333333333333,0.084,0.084,0.083,0.085,0.088,0.088,0.083,0.084,0.082,0.00268520032135437,NA,0.086,0.00264602408872605,NA,0.085,0.00346167201570324,-Inf,0.089,0.00194790485963381,Inf,0.00268520032135437,"A18","ancestral"
"28","A18_evolved","Rep1",0.0823333333333333,0.093,0.121,0.083,0.091,0.091,0.084,0.106,0.187,0.08,0.082,0.085,0.0177420574898335,NA,0.122333333333333,0.00812221609969299,NA,0.093,0.0405338295372815,-Inf,0.187,0.004570126832526,Inf,0.0177420574898335,"A18","evolved"
"29","A18_evolved","Rep2",0.0876666666666667,0.178666666666667,0.183666666666667,0.087,0.188,0.169,0.089,0.242,0.287,0.087,0.106,0.095,0.0365534178777456,NA,0.198333333333333,0.0368834986774758,NA,0.2,0.0596946549968891,-Inf,0.289,0.0130820999588721,Inf,0.0365534178777456,"A18","evolved"
"30","A18_evolved","Rep3",0.0843333333333333,0.0896666666666667,0.0886666666666667,0.085,0.087,0.085,0.086,0.096,0.096,0.082,0.086,0.085,0.00397405951109893,NA,0.0913333333333333,0.00306484331247248,NA,0.091,0.00602674126159997,-Inf,0.097,0.00283059395922436,Inf,0.00397405951109893,"A18","evolved"
"31","A18_evolved","Rep4",0.106666666666667,0.251333333333333,0.298,0.095,0.182,0.175,0.139,0.487,0.574,0.086,0.085,0.145,0.057737251509445,38,0.305,0.0582503445700766,38,0.188,0.0992353184292582,38,0.581,0.0157260915290003,38,0.057737251509445,"A18","evolved"
