"name","line","type","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope"
"1","1",NA,10,17,22,0.3,0.34,0.36,8.8
"A03_R2A_EVO","A03","R2A",8,10,11,0.62,0.25,0.26,233.2
"A03_R2A_T0","A03","R2A",11,11,12,0.07,0.06,0.09,278.1
"A03_R2B_EVO","A03","R2B",10,11,13,0.06,0.09,0.17,196.1
"A03_R2B_T0","A03","R2B",8,9,10,0.06,0.11,0.16,297.8
"A03_R2C_EVO","A03","R2C",10,11,13,0.05,0.08,0.15,223
"A03_R2C_T0","A03","R2C",11,12,12,0.06,0.1,0.09,288.9
"A03_R3A_EVO","A03","R3A",12,13,14,0.06,0.08,0.11,252.9
"A03_R3A_T0","A03","R3A",11,12,13,0.06,0.08,0.12,302.2
"A03_R3B_EVO","A03","R3B",11,12,13,0.06,0.08,0.12,223.1
"A03_R3B_T0","A03","R3B",11,12,13,0.05,0.06,0.09,322.3
"A03_R3C_EVO","A03","R3C",9,10,11,0.08,0.07,0.12,265
"A03_R3C_T0","A03","R3C",8,9,10,0.05,0.08,0.15,308.8
"A03_R4A_EVO","A03","R4A",13,14,16,0.07,0.09,0.16,153
"A03_R4B_EVO","A03","R4B",11,12,15,0.08,0.15,0.2,177.4
"A03_R4C_EVO","A03","R4C",1,9,11,NA,0.54,0.38,216.2
"A03_R7A_T0","A03","R7A",8,9,10,0.05,0.08,0.13,272.3
"A03_R7B_T0","A03","R7B",11,12,14,0.06,0.07,0.16,244.1
"A03_R7C_T0","A03","R7C",10,11,12,0.06,0.1,0.15,256.7
"A03_R8A_EVO","A03","R8A",11,12,14,0.07,0.09,0.14,167.3
"A03_R8A_T0","A03","R8A",10,12,13,0.05,0.11,0.14,268.6
"A03_R8B_EVO","A03","R8B",9,10,12,0.06,0.1,0.17,174.1
"A03_R8B_T0","A03","R8B",11,12,12,0.07,0.09,0.09,265.2
"A03_R8C_EVO","A03","R8C",13,14,15,0.09,0.09,0.11,179.1
"A03_R8C_T0","A03","R8C",8,9,9,0.07,0.11,0.1,286.8
"A04_R3A_T0","A04","R3A",12,13,14,0.08,0.1,0.13,294.4
"A04_R3B_T0","A04","R3B",11,12,13,0.08,0.1,0.12,307.5
"A04_R3C_T0","A04","R3C",12,13,14,0.08,0.09,0.13,302.2
"A04_R5A_T0","A04","R5A",11,12,14,0.07,0.09,0.15,302.3
"A04_R5B_T0","A04","R5B",10,11,12,0.07,0.11,0.14,316.5
"A04_R5C_T0","A04","R5C",9,10,11,0.07,0.1,0.14,304.6
"A04_R6A_EVO","A04","R6A",12,13,15,0.06,0.07,0.13,272
"A04_R6A_T0","A04","R6A",12,13,14,0.05,0.07,0.11,301.4
"A04_R6B_EVO","A04","R6B",11,12,13,0.07,0.09,0.13,281.1
"A04_R6B_T0","A04","R6B",10,12,13,0.06,0.13,0.16,291.6
"A04_R6C_EVO","A04","R6C",11,12,13,0.08,0.1,0.12,284.3
"A04_R6C_T0","A04","R6C",11,12,13,0.06,0.08,0.11,298.5
"A04_R7A_EVO","A04","R7A",12,13,14,0.07,0.1,0.12,274.7
"A04_R7A_T0","A04","R7A",12,13,14,0.06,0.08,0.11,283.4
"A04_R7B_EVO","A04","R7B",10,11,12,0.06,0.08,0.11,308.8
"A04_R7B_T0","A04","R7B",10,11,12,0.07,0.1,0.12,297
"A04_R7C_EVO","A04","R7C",13,14,15,0.07,0.09,0.13,264.1
"A04_R7C_T0","A04","R7C",13,14,15,0.06,0.08,0.11,298.8
"A04_R8A_EVO","A04","R8A",11,12,13,0.06,0.09,0.12,259.5
"A04_R8B_EVO","A04","R8B",10,11,12,0.07,0.1,0.13,267
"A04_R8C_EVO","A04","R8C",11,12,14,0.06,0.09,0.16,255.2
"A04_R9A_EVO","A04","R9A",11,12,14,0.07,0.09,0.17,233.7
"A04_R9B_EVO","A04","R9B",11,12,13,0.07,0.08,0.11,207.7
"A04_R9C_EVO","A04","R9C",9,10,11,0.06,0.08,0.12,266
"A08_R10A_T0","A08","R10A",8,9,10,0.08,0.11,0.15,287.5
"A08_R10B_T0","A08","R10B",8,9,11,0.06,0.09,0.19,256
"A08_R10C_T0","A08","R10C",9,9,11,0.09,0.08,0.18,261.1
"A08_R3A_EVO","A08","R3A",11,12,13,0.05,0.07,0.1,205.8
"A08_R3B_EVO","A08","R3B",8,9,10,0.34,0.19,0.21,275.8
"A08_R3C_EVO","A08","R3C",9,10,11,0.07,0.08,0.12,262.8
"A08_R4A_EVO","A08","R4A",11,12,13,0.07,0.09,0.13,246.9
"A08_R4B_EVO","A08","R4B",10,11,12,0.08,0.1,0.15,248.6
"A08_R4C_EVO","A08","R4C",11,12,13,0.07,0.1,0.14,220.5
"A08_R7A_EVO","A08","R7A",10,11,12,0.08,0.1,0.14,243.5
"A08_R7A_T0","A08","R7A",11,12,13,0.07,0.09,0.13,281.7
"A08_R7B_EVO","A08","R7B",10,11,12,0.08,0.1,0.12,240.5
"A08_R7B_T0","A08","R7B",11,12,14,0.06,0.08,0.18,271.2
"A08_R7C_EVO","A08","R7C",10,11,12,0.07,0.09,0.14,226
"A08_R7C_T0","A08","R7C",11,12,14,0.07,0.08,0.16,267
"A08_R8A_EVO","A08","R8A",11,11,13,0.08,0.07,0.15,264.4
"A08_R8A_T0","A08","R8A",11,12,13,0.08,0.1,0.14,279.6
"A08_R8B_EVO","A08","R8B",10,11,12,0.07,0.12,0.16,264.5
"A08_R8B_T0","A08","R8B",10,11,12,0.07,0.09,0.12,273.9
"A08_R8C_EVO","A08","R8C",11,11,12,0.07,0.07,0.1,248.4
"A08_R8C_T0","A08","R8C",11,12,13,0.06,0.08,0.11,257.5
"A08_R9A_T0","A08","R9A",8,9,10,0.09,0.13,0.18,282.2
"A08_R9B_T0","A08","R9B",10,11,12,0.08,0.1,0.14,235.4
"A08_R9C_T0","A08","R9C",11,12,14,0.06,0.09,0.17,267
"A18_R1A_EVO","A18","R1A",14,14,15,0.06,0.06,0.08,292.8
"A18_R1B_EVO","A18","R1B",11,12,13,0.07,0.1,0.13,286.7
"A18_R1C_EVO","A18","R1C",11,12,13,0.06,0.08,0.11,292.6
"A18_R2A_EVO","A18","R2A",11,12,12,0.08,0.1,0.1,244.3
"A18_R2B_EVO","A18","R2B",10,12,12,0.06,0.11,0.11,264.8
"A18_R2C_EVO","A18","R2C",10,12,12,0.07,0.11,0.1,254.2
"A18_R3A_EVO","A18","R3A",11,12,13,0.06,0.08,0.11,288
"A18_R3B_EVO","A18","R3B",9,10,11,0.06,0.08,0.11,289
"A18_R3C_EVO","A18","R3C",10,12,13,0.05,0.1,0.14,291.6
"A18_R4A_EVO","A18","R4A",10,11,12,0.07,0.1,0.12,299.6
"A18_R4A_T0","A18","R4A",13,14,15,0.05,0.07,0.1,264.7
"A18_R4B_EVO","A18","R4B",10,11,12,0.06,0.09,0.11,315.5
"A18_R4B_T0","A18","R4B",12,13,14,0.05,0.06,0.09,271.6
"A18_R4C_EVO","A18","R4C",11,12,13,0.06,0.09,0.12,315.3
"A18_R4C_T0","A18","R4C",12,13,14,0.06,0.08,0.11,275.5
"A18_R5A_T0","A18","R5A",13,14,15,0.06,0.08,0.12,254.8
"A18_R5B_T0","A18","R5B",10,11,12,0.05,0.08,0.11,262.7
"A18_R5C_T0","A18","R5C",13,14,15,0.06,0.08,0.12,272.4
"A18_R7A_T0","A18","R7A",11,12,13,0.12,0.11,0.14,263.8
"A18_R7B_T0","A18","R7B",10,11,12,0.06,0.08,0.13,242.1
"A18_R7C_T0","A18","R7C",12,13,14,0.05,0.07,0.1,252.1
"A18_R8A_T0","A18","R8A",13,14,15,0.06,0.08,0.12,277.8
"A18_R8B_T0","A18","R8B",10,12,12,0.06,0.11,0.1,279.2
"A18_R8C_T0","A18","R8C",10,11,12,0.07,0.09,0.12,292.7
